date,symbol,compound_b,neg_b,neu_b,pos_b,compound_t,neg_t,neu_t,pos_t
2020-11-11,MRNA,0.33,0.20199999999999999,4.721,0.078,-0.4142,0.46900000000000003,4.246,0.28500000000000003
2020-11-11,PFE,3.8951,0.15000000000000002,5.308999999999999,0.541,2.6305,0.071,8.794,1.135
2020-11-12,AZN,2.8887,0.14300000000000002,3.478,0.378,-0.01749999999999996,0.45,3.076,0.474
2020-11-12,JNJ,0.9789,0.009,0.914,0.077,0.4767,0.0,0.819,0.181
2020-11-12,MRNA,1.6168,0.008,1.8610000000000002,0.131,1.9852999999999998,0.152,7.059000000000001,0.789
2020-11-12,PFE,0.891,0.081,0.806,0.114,0.9934,0.0,1.587,0.413
2020-11-13,AZN,-0.5673999999999999,0.184,2.636,0.18,0.24239999999999984,0.125,2.568,0.307
2020-11-13,JNJ,0.7096,0.053,1.87,0.078,-0.07240000000000002,0.176,3.6959999999999997,0.128
2020-11-13,MRNA,0.9702,0.014,0.899,0.087,0.9445999999999999,0.0,2.6239999999999997,0.376
2020-11-13,PFE,1.9799,0.059,3.6599999999999997,0.28200000000000003,1.4093,0.0,4.617,0.383
2020-11-14,AZN,0.9948,0.04,0.834,0.125,0.0,0.0,1.0,0.0
2020-11-14,MRNA,0.8051,0.033,0.87,0.097,0.0,0.0,1.0,0.0
2020-11-15,AZN,-0.721,0.075,0.868,0.057,0.0,0.0,1.0,0.0
2020-11-15,MRNA,0.9937,0.022,0.901,0.077,0.0,0.0,1.0,0.0
2020-11-15,PFE,1.9753,0.043000000000000003,2.769,0.188,0.4019,0.0,2.876,0.124
2020-11-16,AZN,0.9169,0.013,0.933,0.054,0.0,0.0,1.0,0.0
2020-11-16,JNJ,1.925,0.019,1.772,0.209,-0.5719,0.236,1.764,0.0
2020-11-16,MRNA,1.8698000000000001,0.046,4.581,0.374,0.8226,0.066,8.629,0.305
2020-11-16,PFE,0.0,0.0,1.0,0.0,0.3612,0.108,2.702,0.19
2020-11-17,AZN,0.4402,0.066,1.8679999999999999,0.066,0.08140000000000003,0.212,1.476,0.312
2020-11-17,JNJ,0.9968,0.008,0.847,0.144,0.0,0.0,1.0,0.0
2020-11-17,MRNA,5.309200000000001,0.19799999999999998,8.226,0.577,0.03180000000000002,0.29100000000000004,9.337,0.372
2020-11-17,PFE,1.9335,0.046,1.662,0.29200000000000004,0.8509,0.0,1.495,0.505
2020-11-18,MRNA,2.3973,0.121,3.662,0.218,0.0516,0.149,3.69,0.161
2020-11-18,PFE,0.021100000000000008,0.14100000000000001,7.694,0.16499999999999998,0.30450000000000005,0.614,9.654,0.733
2020-11-19,AZN,2.7972,0.14100000000000001,4.51,0.349,2.7994,0.0,4.871,1.129
